39,,RHOB,√,√,236,0.037,39561.911,10.695,2,0.07,0.046750818,0.04
526,,RHOA,√,√,200,0.035,31839.854,8.876,2,0.19,0.056331681,0.11
533,,RXRA,√,√,244,0.036,38556.758,10.574,2,0.00,0.047285795,0.00
693,,ZFP36L2,√,√,274,0.036,53066.383,11.789,2,0.45,0.042412418,0.81
523,,POTEG,√,√,114,0.026,11458.267,4.825,2,0.01,0.103626943,0.82
167,,TGIF2LX,√,√,226,0.06,22556.817,9.512,2,0.02,0.052565181,0.97
35,,PIGS,√,√,125,0.026,13028.036,5.19,2,0.00,0.096339114,0.86
524,,UCP1,√,√,203,0.032,31872.333,8.335,2,0.00,0.059988002,0.67
254,,ZCWPW2,√,√,94,0.119,5308.6,3.846,2,0.06,0.1300052,0.12
299,,MUC7,√,√,176,0.027,24611.263,6.67,2,0.05,0.074962519,0.73
513,,NAA38,√,√,257,0.03,53565.996,9.674,2,0.03,0.051684929,0.05
488,,RBP2,√,√,152,0.025,20796.674,5.711,2,0.45,0.087550341,0.63
426,,TNNT1,√,√,293,0.027,72708.983,9.823,2,0.09,0.050900947,0.07
543,,SARS2,√,√,174,0.021,26905.318,5.598,2,0.00,0.089317613,0.78
445,,RAB38,√,√,307,0.026,71235.796,9.746,2,0.02,0.051303099,0.79
542,,SLC24A1,√,√,185,0.019,29750.081,5.514,2,0.72,0.090678274,0.58
130,,ZIM3,√,√,288,0.021,74536.176,8.007,2,0.02,0.06244536,0.02
541,,SLC36A4,√,√,282,0.02,69819.34,7.511,2,0.00,0.066569032,0.13
322,,RARS2,√,√,319,0.082,50309.802,8,2,0.00,0.0625,0.92
153,,SLC23A3,√,√,103,0.141,4685.809,2.25,2,0.02,0.222222222,0.75
520,,PPARGC1A,√,√,103,0.141,4685.809,2.01,2,0.63,0.248756219,0.82
129,,NAA15,√,√,670,0,446892,11.997,2,0.44,0.041677086,0.80
